driver,connections,repeat,sessions_written,started_at,finished_at
file-nogc,1,1,22058,2026-09-03T21:59:38Z,2026-09-03T22:00:03Z
file-nogc,2,1,45042,2026-09-03T22:00:19Z,2026-09-03T22:00:44Z
file-nogc,4,1,51226,2026-09-03T22:01:01Z,2026-09-03T22:01:26Z
file-nogc,8,1,49296,2026-09-03T22:01:43Z,2026-09-03T22:02:08Z
file-nogc,16,1,49543,2026-09-03T22:02:25Z,2026-09-03T22:02:50Z
file-nogc,32,1,49284,2026-09-03T22:03:07Z,2026-09-03T22:03:32Z
file-nogc,64,1,48891,2026-09-03T22:03:49Z,2026-09-03T22:04:14Z
file-nogc,100,1,49642,2026-09-03T22:04:32Z,2026-09-03T22:04:57Z
