driver,connections,repeat,sessions_written,started_at,finished_at
database,100,3,4869,2026-09-03T21:24:43Z,2026-09-03T21:25:08Z
redis,1,3,20194,2026-09-03T21:25:55Z,2026-09-03T21:26:20Z
redis,2,3,38812,2026-09-03T21:26:37Z,2026-09-03T21:27:02Z
redis,4,3,44822,2026-09-03T21:27:19Z,2026-09-03T21:27:44Z
redis,8,3,43898,2026-09-03T21:28:00Z,2026-09-03T21:28:25Z
redis,16,3,44632,2026-09-03T21:28:42Z,2026-09-03T21:29:07Z
redis,32,3,44032,2026-09-03T21:29:23Z,2026-09-03T21:29:48Z
redis,64,3,43496,2026-09-03T21:30:05Z,2026-09-03T21:30:30Z
redis,100,3,44008,2026-09-03T21:30:46Z,2026-09-03T21:31:12Z
array,1,3,0,2026-09-03T21:41:17Z,2026-09-03T21:41:42Z
array,2,3,0,2026-09-03T21:41:57Z,2026-09-03T21:42:22Z
array,4,3,0,2026-09-03T21:42:37Z,2026-09-03T21:43:02Z
array,8,3,0,2026-09-03T21:43:16Z,2026-09-03T21:43:42Z
array,16,3,0,2026-09-03T21:43:56Z,2026-09-03T21:44:21Z
array,32,3,0,2026-09-03T21:44:36Z,2026-09-03T21:45:01Z
array,64,3,0,2026-09-03T21:45:16Z,2026-09-03T21:45:41Z
array,100,3,0,2026-09-03T21:45:56Z,2026-09-03T21:46:21Z
file,1,3,11618,2026-09-03T21:47:07Z,2026-09-03T21:47:32Z
file,2,3,17353,2026-09-03T21:47:48Z,2026-09-03T21:48:13Z
file,4,3,18969,2026-09-03T21:48:29Z,2026-09-03T21:48:54Z
file,8,3,18179,2026-09-03T21:49:11Z,2026-09-03T21:49:36Z
file,16,3,18205,2026-09-03T21:49:52Z,2026-09-03T21:50:17Z
file,32,3,18054,2026-09-03T21:50:34Z,2026-09-03T21:50:59Z
file,64,3,18027,2026-09-03T21:51:15Z,2026-09-03T21:51:40Z
file,100,3,18204,2026-09-03T21:51:56Z,2026-09-03T21:52:21Z
