runtime,endpoint,round,rps,avg_ms,p50_ms,p75_ms,p90_ms,p99_ms,requests,timeouts
roadrunner,db,2,836.1,125.79,94.78,116.46,224.84,379.03,25115,0
roadrunner,health,3,1227.0,90.07,60.71,92.44,191.47,284.12,36861,0
roadrunner,static,3,1212.7,91.7,62.03,87.69,197.55,284.76,36424,0
roadrunner,cpu,3,1183.7,93.5,63.82,87.22,199.7,286.46,35550,0
roadrunner,db,3,913.9,110.26,87.73,130.31,167.88,280.01,27452,0
swoole,health,1,1002.4,122.05,52.37,162.06,282.96,514.03,30157,0
swoole,static,1,1698.5,60.04,51.42,53.15,75.32,137.69,51008,0
swoole,cpu,1,1692.1,60.09,51.93,53.56,73.82,136.35,50814,0
swoole,db,1,923.9,123.22,83.18,124.03,200.73,630.43,27756,0
swoole,health,2,1534.3,66.9,53.58,62.41,111.75,188.94,46085,0
swoole,static,2,1621.0,62.83,54.49,57.96,79.31,147.75,48681,0
swoole,cpu,2,1619.9,62.74,54.74,57.07,79.21,141.88,48652,0
swoole,db,2,1013.2,100.57,81.92,100.58,170.51,262.16,30451,0
swoole,health,3,1726.0,59.32,64.13,65.5,86.55,145.63,51844,0
swoole,static,3,1678.2,60.96,52.47,55.63,78.99,142.43,50397,0
swoole,cpu,3,1683.7,60.87,65.44,67.19,88.87,150.89,50571,0
swoole,db,3,1221.1,82.72,93.01,95.37,104.06,185.7,36679,0
